,Count
lip and,2
her half,2
half open,4
open mouth,2
mouth seemed,1
seemed to,346
be her,3
own special,2
special and,2
and peculiar,4
peculiar form,1
form of,12
of beauty,4
beauty everyone,1
everyone brightened,1
brightened at,1
the sight,45
sight of,70
this pretty,2
pretty young,5
young woman,11
woman so,1
so soon,4
soon to,2
to become,12
become a,14
a mother,10
mother so,1
so full,6
full of,56
life and,71
and health,3
and carrying,5
carrying her,1
her burden,2
burden so,1
so lightly,3
lightly old,1
old men,17
men and,83
and dull,3
dull dispirited,1
dispirited young,1
young ones,4
ones who,1
who looked,12
her after,5
after being,3
being in,10
her company,3
company and,13
and talking,19
talking to,43
her a,25
little while,7
while felt,1
felt as,16
they too,7
too were,2
were becoming,2
becoming like,1
like her,10
her full,2
health all,1
all who,23
who talked,3
talked to,18
her and,208
at each,14
each word,2
word saw,1
saw her,21
her bright,1
bright smile,4
smile and,39
the constant,1
constant gleam,1
gleam of,6
her white,6
white teeth,8
teeth thought,1
thought that,46
that they,170
they were,303
were in,57
a specially,6
specially amiable,1
amiable mood,1
mood that,3
that day,95
day the,43
the little,140
princess went,3
went round,10
round the,87
the table,117
table with,14
with quick,7
quick short,1
short swaying,1
swaying steps,1
steps her,1
her workbag,1
workbag on,1
on her,127
her arm,8
arm and,37
and gaily,8
gaily spreading,1
spreading out,11
out her,17
her dress,16
dress sat,2
sat down,117
down on,60
on a,173
a sofa,8
sofa near,1
near the,54
the silver,4
silver samovar,1
samovar as,1
if all,7
was doing,33
doing was,2
was a,353
a pleasure,9
pleasure to,7
to herself,34
herself and,43
to all,52
all around,14
around her,9
her i,21
have brought,13
brought my,3
my work,2
work said,2
said she,87
she in,6
french displaying,1
displaying her,1
her bag,1
bag and,1
and addressing,10
addressing all,1
all present,2
present mind,1
mind annette,1
annette i,1
